PERMANENT_NAME,DISPLAY_NAME,MAIN_PIC_ID,CITY,STATE,COUNTRY_CODE,MEMBER_SINCE,PERSONAL_URL,OCCUPATION,LOAN_BECAUSE,OTHER_INFO,LOAN_PURCHASE_NUM,INVITED_BY,NUM_INVITED
matt53975006,Matt,,,,,1587388290,,,,,1,,0
evan3611,Evan,,,,,1587730990,,,,,1,,0
daiquan6450,Dai'Quan,,,,,1587772941,,,,,1,,0
layne3934,Layne,,,,,1587781435,,,,,1,,0
tyler5687,Tyler,,,,,1588012145,,,,,1,,0
jamie47126096,Jamie,,,,,1588087131,,,,,1,,0
eva6809,Eva,,,,,1588087710,,,,,3,,0
shawn1441,Shawn,,,,,1588086631,,,,,1,,0
jholx4522,J,,,,,1588106908,,,,,1,,0
jeff3449,Jeff,,,,,1588107751,,,,,1,,0
thomas96624643,Thomas,,,,,1588182236,,,,,1,,0
elizabeth99308365,Elizabeth,,,,,1588693970,,,,,1,,0
nathan2862,Nathan,,,,,1588692530,,,,,1,,0
michael20733999,Michael,,,,,1588695090,,,,,1,,0
claire59825139,Claire,,,,,1588823065,,,,,1,,0
melanie5405,Melanie,,,,,1588861819,,,,,1,,0
manuel8397,Manuel,,,,,1587773396,,,,,1,,0
matthew41923504,Matthew,,,,,1587784163,,,,,1,,0
kayla4979,Kayla,,,,,1587804779,,,,,1,,0
julie9954,Julie,,,,,1587780999,,,,,1,,0
carolaampdegourt1570,Carola &amp; de Gourét,,,,,1588087771,,,,,1,,0
greg3491,Greg,,,,,1588088421,,,,,1,,0
sam9619,Sam,,,,,1588085199,,,,,1,,0
aobbzg1661,A,,,,,1588122779,,,,,1,,0
kahle3763,Kahle,,,,,1588196697,,,,,1,,0
ray5594,Ray,,,,,1588418450,,,,,1,,0
gabrielhm,Gabriel,3548048,,,BR,1588686657,,,,,1,,0
abigail6418,Abigail,,,,,1588696561,,,,,1,Bushra,0
mel8430,Mel,,,,,1588802816,,,,,1,,0
michael47157175,Michael,,,,,1588801572,,,,,1,,0
matt3706,Matt,3563028,,,,1588862244,,,,,1,,0
mandesah7435,mandesah,,,,,1588894897,,,,,1,,0
brian59018165,Brian,,,,,1588894616,,,,,1,,0
john60356017,John,,,,,1588904067,,,,,1,,0
georgianna7303,Georgianna,,,,,1587748875,,,,,1,,0
rebekah8052,Rebekah,,,,,1587749677,,,,,2,,0
nadia5077,Nadia,,,,,1587749239,,,,,1,,0
ashley5185,Ashley,,,,,1587749356,,,,,1,,0
mike43247651,Mike,,,,,1587781581,,,,,12,,0
patrick44203402,Patrick,,,,,1587781571,,,,,1,,0
christie4465,Christie,,,,,1588087304,,,,,1,,0
teona9853,Teona,,,,,1588107313,,,,,1,,0
peter7897,Peter,,,,,1588121570,,,,,1,,0
george9723,George,,,,,1588123419,,,,,1,,0
timo4965,Timo,,,,,1588179852,,,,,1,,0
laura30396762,Laura,,,,,1588695098,,,,,1,,0
tajae2718,Tajae,,,,,1588826932,,,,,1,,0
lorraine7534,LORRAINE,,,,,1588865722,,,,,1,,0
ppwzwh5291,p.,3565880,,,,1588894710,,,,,1,,0
nicholas11486404,Nicholas,,,,,1587740231,,,,,1,,0
jake7873,jake,,,,,1587749874,,,,,1,,0
amanda5595,Amanda,,,,,1587749125,,,,,1,,0
tara44993762,Tara,,,,,1587772955,,,,,1,,0
chris3786,Chris,,,,,1587781216,,,,,1,,0
jordana6539,Jordana,,,,,1587781624,,,,,1,,0
jake33974461,Jake,,,,,1588087661,,,,,1,,0
megan18312347,megan,,,,,1588088440,,,,,1,,0
jennifer94392012,Jennifer,,,,,1588107433,,,,,1,,0
martin77135978,Martin,,,,,1588105771,,,,,4,Debbie,0
omy4671,Romulo Romero,3520135,Parañaque City,METRO MANILA,PH,1588223098,www.otiphilippines.com,Consulting,I want to put our resources to support social enterprises.,Passionate about helping others meet the needs of others.,3,,0
caleb7578,Caleb,,,,,1588696730,,,,,1,,0
chelsea5459,Chelsea,,,,,1588697043,,,,,1,,0
norma9522,Norma,,,,,1588826588,,,,,1,,0
joshua7958,JOSHUA,,,,,1588863678,,,,,4,,0
emily1368,Emily,,,,,1587749772,,,,,1,,0
marjolein3389,Marjolein,,,,,1587389567,,,,,4,,0
ayla9296,Ayla,,,,,1587403262,,,,,11,,0
murphy4306,Murphy,,,,,1587731248,,,,,1,,0
willlow8830,Willlow,,,,,1587731861,,,,,1,,0
michael25367474,Michael,,,,,1587793985,,,,,1,,0
brenda95681131,Brenda,,,,,1588087960,,,,,1,,0
hannah5609,Hannah,,,,,1588105646,,,,,2,,0
alice5788,Alice,,,,,1588105632,,,,,1,,0
patrick79629685,Patrick,,,,,1588800507,,,,,1,,0
mike73385747,Mike,,,,,1588801306,,,,,1,,0
rayanne4847,Rayanne,,,,,1588831222,,,,,1,,0
amy22678999,Amy,,,,,1587386712,,,,,2,,0
abdalla3281,Abdalla,,,,,1587403973,,,,,2,,0
ryan25234368,Ryan,,,,,1587778132,,,,,1,,0
janell1834,Janell,,,,,1588009975,,,,,1,,0
badumm4164,Badumm,,,,,1588862097,,,,,2,,0
sarah86504322,Sarah,,,,,1588895266,,,,,1,,0
madison8056,Madison,,,,,1588907165,,,,,1,,0
morgan51576227,Morgan,,,,,1588908809,,,,,1,,0
erika9694,Erika,,,,,1589114895,,,,,1,Tomas,0
flavio8960,Flavio,,,,,1589133651,,,,,1,,0
karenr9817,Karen R,,,,,1589140056,,,,,1,,0
seongseog8244,Seong Seog,,,,,1589147143,,,,,1,,0
justin3290,Justin,,,,,1589163849,,,,,1,,0
adrian4222,Adrian,,,,,1588169492,,,,,1,,0
patrick2208,Patrick,,,,,1589108030,,,,,5,,0
julien8750,Julien,,,,,1588906997,,,,,1,,0
undefined7919,undefined,,,,,1589138781,,,,,2,,0
laura79705782,Laura,,,,,1588904729,,,,,1,,0
stacey37349099,Stacey,,,,,1588904020,,,,,1,,0
marycela6205,Marycela,,,,,1588907365,,,,,1,,0
mampa1098,M &amp; A,,,,,1588951011,,,,,1,,0
jd7272,JD,,,,,1589034107,,,,,1,,0
emilye1983,Emilye,,,,,1589033738,,,,,1,,0
gabriel5340,Gabriel,,,,,1589059353,,,,,2,,0
bria6918,Bria,,,,,1589071281,,,,,1,,0
sarah888,Sarah,,,,,1589070972,,,,,1,,0
camille5126,Camille,,,,,1589115235,,,,,1,,0
michael30334052,Michael,,,,,1589125709,,,,,1,,0
taner6262,Taner,,,,,1589138564,,,,,1,,0
rod8885,Rod,,,,,1589059650,,,,,1,,0
dahmir7798,Dahmir,,,,,1589082557,,,,,1,,0
laura63804061,Laura,,,,,1589140346,,,,,3,,0
gabriel8634,Gabriel,,,,,1589137708,,,,,1,,0
saxuyk2539,s,,,,,1589119542,,,,,1,,0
russell5583,Russell,,,,,1589119664,,,,,3,,0
lisa8152,Lisa,,,,,1588912636,,,,,1,,0
miwa6308,Miwa,,,,,1588909789,,,,,1,,0
chris38505548,Chris,,,,,1588910055,,,,,1,,0
advancedtrainings,Advanced-Trainings,3519636,,,,1588166728,http://Advanced-Trainings.com,Education and Training,,,25,Til,0
daria6656,Daria,,,,,1588167552,,,,,1,,0
john74391366,John,3586516,Alma,AR,US,1589115352,,Systems Controller,,,3,,0
juan1994,Juan,,,,,1589125368,,,,,1,,0
starr4242,Starr,,,,,1589134049,,,,,3,,0
gowtham6560,Gowtham,,,,,1589133710,,,,,2,,0
akshay6100,Akshay,,,,,1589140354,,,,,3,,0
colson9271,Colson,,,,,1588951076,,,,,1,,0
emily63056389,Emily,,,,,1589125604,,,,,1,,0
james70834277,James,,,,,1589164600,,,,,1,,0
alex2423,Alex,,,,,1589138110,,,,,1,,0
greg3620,Greg,,,,,1589119168,,,,,1,,0
liuba7997,Liuba,,,,,1587139656,,,,,1,,0
theresa8654,THERESA,,,,,1587150676,,,,,2,,0
lexi2220,Lexi,,,,,1587131049,,,,,1,,0
christopher61314100,Chris Thompson,3490282,Powell,OH,US,1587131584,,Mech. Engineer,the adversity I encountered growing-up in the US as both an adoptee & half-Latino. My adoptive father became disable when I was adolescent forcing me to become more independent.,"Mechanical Engineer, father, previously owned a consulting business, traveled to Latin America & India.",17,,0
desiree4199,Desiree,3491189,,,CA,1587146902,,,,,1,,0
holly1851,Holly,,,,,1587145414,,,,,1,,0
peter8973,Peter,,,,,1587147143,,,,,2,,0
kathy2570,Kathy,,,,,1587139107,,,,,1,,0
rafi7995,Rafi,,,,,1587145857,,,,,1,,0
stan9884,Stan,,,,,1587240776,,,,,1,,0
nacole6653,Nacole,,,,,1587241124,,,,,1,,0
kerstin9920,Kerstin,,,,,1587150282,,,,,4,,0
ricki9281,Ricki,,,,,1587138310,,,,,1,,0
laurie4917,Laurie,,,,,1587146381,,,,,1,,0
david57611530,David,,,,,1587144706,,,,,1,,0
amani6412,Amani,,,,,1587146452,,,,,1,,0
kristin9149,Kristin,,,,,1587144298,,,,,2,,0
kupferblech11250,Kupferblech1,,,,,1587207606,,,,,1,,0
david33547065,David,,,,,1587134503,,,,,1,,0
nienke9362,Nienke,,,,,1587150029,,,,,1,,0
lian6434,lian,,,,,1587139879,,,,,1,,0
mica1127,Mica,,,,,1587139913,,,,,1,,0
havana3486,Havana,,,,,1587138448,,,,,4,,0
